MAFF code,Description,Fat,Saturated fat,Monounsaturated fat,Polyunsaturated fat,Carbohydrate,Energy,Sodium,Total sugar,Added sugar,Alcohol,Fibre,Cholesterol,Protein,NPM score
22801,Fresh bananas,0.063,0.2079,0.0756,0.1701,12.789,51.03,6.30E-04,11.403,0,0,1.953,0,0.756,0
22901,Fresh melons,0.060079,0.01771,0.01771,0.023117,3.839188,16.405383,0.006106,3.839188,0,0,0.287519,0,0.28467,0
23101,Other fresh fruit,0.206798,0.040743,0.017564,0.107131,6.922092,30.032832,0.001813,6.845563,0,0,1.317632,0,0.55345,0
23301,"Tinned peaches, pears and pineapples",0,0,0,0,13.690601,53.022767,0.00379,13.690601,9.307782,0,1.030819,0,0.42075,2
23601,All other tinned or bottled fruit,0.027759,0.00233,0.012619,0.007267,15.022295,58.451343,0.009808,14.524942,10.004029,0,1.493735,0,0.46698,1
24001,Dried fruit,0.941768,0.435439,0.281629,0.129437,61.877001,248.79094,0.037908,61.842633,34.668112,0,6.171026,0.515519,2.06907,7
24101,"Frozen strawberries, apple slices, peach halves, oranges and other frozen fruits",0.35194,0.040876,0.076104,0.164203,7.061987,31.053211,0.00331,7.061987,2.458185,0,2.527322,0,0.66292,-2
24502,Nuts & edible seeds,47.750676,9.687522,21.536875,14.41785,14.646757,558.89865,0.206899,9.808585,4.608869,0,7.937934,1.754379,18.55431,9
24503,Peanut butter,53.7,11.7049,21.2536,18.3787,13.1,622.825,0.35,6.7,0,0,6.8,0,22.6,11
24801,Pure fruit juices,0.101035,0.017692,0.019715,0.043257,9.234124,37.293485,0.002936,9.235888,9.235888,0,0.080926,0,0.64755,2
25102,"White bread, standard, unsliced",2,0.492255,0.4,0.623236,49.9,241,0.4,2.9,0,0,4.032361,0.135277,9,-3
25202,"White bread, standard, sliced",1.6,0.3,0.3,0.5,46.1,219,0.4,3.4,0,0,3.692468,0,7.9,-3
25701,"White bread, premium, sliced and unsliced",2.3,0.57,0.41,0.57,47,230,0.4,2.7,0,0,2.4,0,8.3,-2
25801,"White bread, soft grain, sliced and unsliced",2.2,0.4,0.6,0.9,45.1,224,0.37,3.5,0,0,3.661874,0,8.7,-4
25901,"Brown bread, sliced and unsliced",2.136533,0.435424,0.430699,0.690662,42.198604,208.82892,0.411377,3.36966,0,0,5.66753,0,8.03653,-4
26001,"Wholemeal and granary bread, sliced and unsliced",2.5,0.5,0.6,0.8,42,217,0.4,2.8,0,0,7.4,0,9.4,-4
26302,"Rolls - white, brown or wholemeal",2.378822,0.585017,0.580129,0.731989,53.236839,258.00654,0.396547,2.704888,0,0,4.480093,0,9.35178,-3
26303,Malt bread and fruit loaves,6.738529,1.397908,1.044286,2.244472,51.691504,284.68495,0.282848,16.301737,8.401738,0,4.238862,10.098263,7.54876,1
26304,Vienna and French bread,1.923942,0.352833,0.29749,0.663802,55.936125,263.01919,0.429841,2.788299,0,0,5.194009,0,9.09171,-3
26305,Starch reduced bread and rolls,2.120732,0.434384,0.413889,0.590814,47.847752,235.53994,0.492603,2.665034,0,0,4.062592,0,9.23972,-3
26308,Other breads,4.817198,1.755738,1.493712,0.932721,47.452198,256.15147,0.509091,2.858464,0.073457,0,3.747785,5.176471,8.69955,-1
26309,Sandwiches,16.465097,5.459125,5.153257,5.121292,23.796272,281.27562,0.740357,1.5508,0.070952,0,2.887354,22.600919,10.96226,7
26310,Sandwiches from takeaway,16.465097,5.459125,5.153257,5.121292,23.796272,281.27562,0.740357,1.5508,0.070952,0,2.887354,22.600919,10.96226,7
26311,Takeaway breads,6.755299,2.758328,2.131321,1.153039,51.105848,286.24538,0.414234,2.815932,0,0,4.035646,8.953923,8.51149,-1
26401,Flour,1.388341,0.434952,0.228075,0.266115,80.407177,351.07866,0.001902,0.639305,0,0,3.845657,0,9.26417,-6
26701,"Buns, scones and teacakes",6.682511,2.446579,2.208254,1.153127,47.751957,268.54919,0.517134,11.68809,6.560722,0,2.508394,11.4951,7.34252,5
27001,"Cakes and pastries, not frozen",17.666615,7.424845,6.690511,2.440363,52.131557,373.38153,0.205319,32.193765,29.461754,0,2.073032,56.895973,4.69314,16
27002,Takeaway pastries,16.953185,7.588927,6.130831,2.059886,49.367888,360.52131,0.277677,21.542299,16.754626,0,2.259913,30.134228,5.7173,12
27101,Crispbread,3.624977,1.092316,0.85657,1.288717,53.754097,321.84652,0.400863,2.41721,2.162412,0,10.726409,0,21.953,-1
27402,Sweet biscuits (not chocolate) and cereal bars,19.859213,8.878016,7.870119,2.068607,69.737177,463.08356,0.388828,23.78046,22.84806,0,2.468686,5.273788,5.71712,16
27403,Cream crackers and other unsweetened biscuits,18.49402,9.122096,6.331823,2.23451,68.761419,460.75791,0.534203,2.74394,0,0,6.1,2.894789,9.10074,9
27702,Chocolate biscuits,27.639635,15.90158,8.16103,1.594211,61.344634,501.92306,0.176299,38.181245,32.859166,0,2.966232,12.888723,5.76158,18
28101,Oatmeal and oat products,8.624386,1.523754,3.395351,3.172792,71.27824,388.86004,0.049368,6.071931,0,0,6.579426,0.542702,10.98519,-4
28202,Muesli,8.87191,2.002325,4.202175,2.170165,66.520264,367.30784,0.119399,19.351916,12.324968,0,8.801097,2.067283,9.52798,1
28203,High fibre breakfast cereals,2.946315,0.718517,0.442158,1.056858,70.114474,329.68145,0.267012,13.046205,9.428117,0,14.733246,0.035854,10.02814,-2
28204,Sweetened breakfast cereals,1.690597,0.500865,0.515215,0.402081,87.170535,363.21005,0.255204,36.056062,32.603494,0,5.074109,0.018693,5.2304,6
28205,Other breakfast cereals,0.927923,0.184445,0.13955,0.314824,90.932874,377.64767,0.459354,9.298144,6.342513,0,3.188227,0.006758,7.13286,3
28502,Canned or fresh carton custard,2.807173,1.858502,0.735633,0.058259,16.201372,96.863216,0.041,12.678165,8.083967,0,0.094198,2.041983,2.7058,3
28503,All canned milk puddings,1.972877,1.139851,0.563673,0.154396,17.210604,95.268875,0.051196,9.455648,5.194722,0,0.204525,8.864256,3.2883,2
28601,Puddings,10.018637,4.450848,4.401718,0.703207,57.136279,324.37067,0.189051,41.826991,30.294798,1.037185,2.557128,34.568312,3.2081,14
28702,Dried rice,1.03458,0.266712,0.303263,0.287117,84.858623,354.76653,0.034949,0.961791,0.162011,0,2.347918,0.025562,6.83533,-3
