index;sex;age;age2;age3;carb;fat;protein;sodium;physicalactivity;energyintake;weight;height
60;Male;29;841;24389;390,8964633;71,49324374;63,15945315;3157,485975;1,6;2459,66286;60,47134212;164,5644458
62;Male;30;900;27000;393,5178416;72,18008707;63,59003244;3184,29575;1,6;2478,05228;60,47134212;164,5644458
64;Male;31;961;29791;395,6670964;72,6499378;63,91220399;3206,486867;1,6;2492,166642;60,47134212;164,5644458
66;Male;32;1024;32768;397,2817507;72,87340395;64,11310757;3222,585252;1,6;2501,440068;60,47134212;164,5644458
68;Male;33;1089;35937;398,3234401;72,86435002;64,19292595;3232,008428;1,6;2505,844615;60,47134212;164,5644458
70;Male;34;1156;39304;398,7695344;72,67410654;64,16182724;3235,120293;1,6;2505,792405;60,47134212;164,5644458
72;Male;35;1225;42875;398,6101591;72,3725674;64,03506122;3232,799768;1,6;2501,933988;60,47134212;164,5644458
74;Male;36;1296;46656;397,8551385;72,02480392;63,82907771;3225,923439;1,6;2494,9601;60,47134212;164,5644458
76;Male;37;1369;50653;396,5518575;71,67796589;63,56127811;3215,197921;1,6;2485,554236;60,47134212;164,5644458
78;Male;38;1444;54872;394,8018757;71,35870318;63,25116553;3201,35726;1,6;2474,440493;60,47134212;164,5644458
80;Male;39;1521;59319;392,765049;71,07702786;62,92055117;3185,427518;1,6;2462,435651;60,47134212;164,5644458
82;Male;40;1600;64000;390,6389204;70,82782157;62,5908774;3168,676017;1,6;2450,369585;60,47134212;164,5644458
84;Male;41;1681;68921;388,6235936;70,59564252;62,28107296;3152,284702;1,6;2438,979449;60,47134212;164,5644458
86;Male;42;1764;74088;386,8848024;70,36626259;62,00778751;3137,025375;1,6;2428,866723;60,47134212;164,5644458
88;Male;43;1849;79507;385,53626;70,14526599;61,78837774;3123,297699;1,6;2420,605945;60,47134212;164,5644458
90;Male;44;1936;85184;384,6373528;69,9672905;61,64140713;3111,442164;1,6;2414,820654;60,47134212;164,5644458
92;Male;45;2025;91125;384,2021085;69,88718532;61,58296713;3102,054962;1,6;2412,12497;60,47134212;164,5644458
94;Male;46;2116;97336;384,2026197;69,95448017;61,61964972;3095,940536;1,6;2412,879399;60,47134212;164,5644458
96;Male;47;2209;103823;384,5707619;70,19113973;61,7444824;3093,748809;1,6;2416,981235;60,47134212;164,5644458
98;Male;48;2304;110592;385,1976337;70,58318117;61,93766277;3095,490267;1,6;2423,789816;60,47134212;164,5644458
100;Male;49;2401;117649;385,9461658;71,08765383;62,17205658;3100,30715;1,6;2432,261774;60,47134212;164,5644458
102;Male;50;2500;125000;386,678618;71,64252908;62,41908789;3106,63057;1,6;2441,173585;60,47134212;164,5644458
104;Male;51;2601;132651;387,3022574;72,17874998;62,65469431;3112,763489;1,6;2449,436557;60,47134212;164,5644458
